Job Role,Company,Skills
Business Analyst,McKinsey,"Business Intelligence, Tableau, SQL, Data Analysis, Excel"
Frontend Developer,Atlassian,"TypeScript, React, CSS, Vue.js, HTML, JavaScript, Angular"
Machine Learning Engineer,Google,"TensorFlow, Deep Learning, Python, Machine Learning, PyTorch"
Senior Software Engineer,Adobe,"AWS, Vue.js, CI/CD, Machine Learning, TensorFlow, CSS, Elasticsearch"
Full Stack Developer,Adobe,"Vue.js, REST APIs, GraphQL, PyTorch, Elasticsearch, TypeScript, Kubernetes, Spring Boot, Node.js, Machine Learning"
Project Manager,Fidelity,"Risk Management, Agile, Stakeholder Management, Scrum, Project Planning"
Project Manager,LinkedIn,"Project Planning, Scrum, Stakeholder Management, Agile, Risk Management"
Marketing Manager,Apple,"Market Research, Marketing Automation, Marketing Analytics, Content Marketing, Social Media Marketing, Brand Management, Content Strategy"
Backend Developer,Microsoft,"Node.js, Redis, Java, MongoDB, Python, SQL, APIs"
Data Engineer,Snowflake,"Data Warehousing, SQL, Python, Hadoop, Spark, ETL"
UX Designer,IBM,"Prototyping, User Research, UI Design, Wireframing, Figma"
Product Manager,Twitter,"Market Analysis, User Stories, Roadmapping, Agile, Product Strategy"
Backend Developer,LinkedIn,"APIs, Java, MongoDB, Node.js, Redis, Python"
Data Scientist,Amazon,"Machine Learning, Python, Scikit-learn, SciPy, Power BI, Business Intelligence"
DevOps Engineer,Workday,"Kubernetes, Linux, CI/CD, Jenkins, Ansible, AWS, Docker"
Frontend Developer,Microsoft,"TypeScript, Angular, Vue.js, React, HTML, JavaScript, CSS"
Data Engineer,Stripe,"Python, Data Warehousing, SQL, Hadoop, ETL, Spark"
Senior Software Engineer,VMware,"Redis, REST APIs, Agile, Vue.js, AWS, React, Microservices, JavaScript"
Data Engineer,Workday,"Hadoop, SQL, Data Warehousing, Python, ETL, Spark"
Project Manager,BlackRock,"Stakeholder Management, Scrum, Risk Management, Agile, Project Planning"
UX Designer,Airbnb,"UI Design, Wireframing, User Research, Prototyping, Figma"
Business Development Manager,EY,"Market Analysis, Negotiation, Partnership Building, CRM, Sales"
Cloud Engineer,Visa,"AWS, Terraform, Kubernetes, GCP, Azure, Docker"
Software Engineer,Oracle,"TensorFlow, Jenkins, AWS, Java, PostgreSQL, Azure"
UX Designer,Square,"Wireframing, Figma, User Research, UI Design, Prototyping"
DevOps Engineer,Adobe,"Ansible, CI/CD, Linux, AWS, Kubernetes, Jenkins, Docker"
UX Designer,Visa,"Wireframing, Prototyping, Figma, UI Design, User Research"
Frontend Developer,Stripe,"React, JavaScript, Angular, TypeScript, CSS, Vue.js, HTML"
Full Stack Developer,ServiceNow,"GraphQL, Linux, HTML, CI/CD, Java, Node.js, Redis, Vue.js, DevOps, React"
Investment Banking Analyst,Bank of America,"Quickbooks, Accounting, Financial Planning, Excel, SQL, Financial Statements, Budgeting, Financial Reporting"
Machine Learning Engineer,Cisco,"Machine Learning, Deep Learning, TensorFlow, PyTorch, Python"
Data Engineer,Apple,"SQL, Python, Spark, ETL, Hadoop, Data Warehousing"
Machine Learning Engineer,HSBC,"Machine Learning, PyTorch, Deep Learning, Python, TensorFlow"
UX Designer,Citigroup,"User Research, Wireframing, Prototyping, UI Design, Figma"
Marketing Manager,Capital One,"Digital Marketing, Marketing Automation, Google Analytics, Social Media Management, Marketing Strategy, Email Marketing"
Data Analyst,Oracle,"A/B Testing, NumPy, Tableau, Spark, Statistical Analysis, Statistics, Power BI, SciPy, Data Mining"
Data Scientist,Databricks,"Machine Learning, Excel, SciPy, A/B Testing, Data Analysis, Tableau"
Software Engineer,Stripe,"Linux, PostgreSQL, HTML, AWS, Python"
Senior Software Engineer,VMware,"HTML, AWS, GraphQL, Kubernetes, Docker, TypeScript, Ansible, Agile, MongoDB"
Data Scientist,Airbnb,"Big Data, Python, Machine Learning, NumPy, R"
Financial Analyst,Mastercard,"Portfolio Management, Investment Banking, Bloomberg Terminal, Risk Management, Valuation, Financial Modeling, Accounting, Business Analysis, VBA, Financial Analysis"
Machine Learning Engineer,Vanguard,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch"
Software Engineer,VMware,"Elasticsearch, Linux, Java, Agile, Vue.js, Node.js, JavaScript, GraphQL"
Cloud Engineer,Netflix,"Azure, AWS, Docker, Terraform, GCP"
Data Scientist,Adobe,"Statistics, Data Analysis, Power BI, Data Visualization, Data Modeling, Business Intelligence, Tableau, Data Mining, ETL"
Marketing Manager,Citigroup,"Content Strategy, Brand Management, Market Research, Google Analytics, Marketing Automation, CRM, Copywriting, Campaign Management"
Product Manager,Uber,"Product Strategy, Market Analysis, Roadmapping, Agile, User Stories"
Project Manager,Boston Consulting Group,"Stakeholder Management, Risk Management, Project Planning, Agile, Scrum"
Business Development Manager,KPMG,"Partnership Building, Sales, Market Analysis, CRM, Negotiation"
Backend Developer,Apple,"Node.js, Python, APIs, Redis, Java, SQL, MongoDB"
Product Manager,Airbnb,"Roadmapping, User Stories, Market Analysis, Product Strategy, Agile"
Marketing Manager,LinkedIn,"Content Marketing, Marketing Automation, Google Ads, Digital Marketing, SEO, Adobe Creative Suite, Social Media Marketing"
Software Engineer,Workday,"Git, REST APIs, Kubernetes, DevOps, CSS, Node.js, SQL, Agile"
Business Development Manager,Adobe,"Negotiation, Market Analysis, Sales, Partnership Building, CRM"
Business Development Manager,L.E.K. Consulting,"CRM, Market Analysis, Sales, Partnership Building, Negotiation"
Data Engineer,Databricks,"Data Warehousing, SQL, Hadoop, ETL, Python, Spark"
Backend Developer,IBM,"Redis, Node.js, SQL, Java, MongoDB"
Data Scientist,Square,"Hadoop, Data Visualization, Python, SQL, Predictive Modeling, Power BI, Spark, Scikit-learn"
Data Analyst,Adobe,"SciPy, Python, Data Visualization, SQL, ETL, Business Intelligence, R, A/B Testing"
Investment Banking Analyst,Bank of America,"Valuation, Accounting, Risk Management, Budgeting, Capital Markets, Bloomberg Terminal, Excel, Portfolio Management, Business Analysis, SQL"
Cloud Engineer,LinkedIn,"Kubernetes, Docker, Azure, GCP, AWS, Terraform"
Data Engineer,Snowflake,"ETL, Spark, SQL, Hadoop, Data Warehousing, Python"
UX Designer,VMware,"User Research, Figma, UI Design, Prototyping, Wireframing"
Data Scientist,Amazon,"NumPy, R, Big Data, Data Warehousing, Statistical Analysis, Python"
DevOps Engineer,Databricks,"Docker, AWS, CI/CD, Jenkins, Kubernetes, Ansible, Linux"
Senior Software Engineer,Atlassian,"TensorFlow, Microservices, Vue.js, MongoDB, Spring Boot, REST APIs, Angular, TypeScript, CSS, Python"
Financial Analyst,Deutsche Bank,"Financial Modeling, Financial Reporting, Quickbooks, Risk Management, Excel, Capital Markets"
Machine Learning Engineer,Citigroup,"Machine Learning, PyTorch, Deep Learning, Python, TensorFlow"
UX Designer,VMware,"User Research, Wireframing, Figma, UI Design, Prototyping"
Machine Learning Engineer,HSBC,"Deep Learning, TensorFlow, Python, PyTorch, Machine Learning"
Product Manager,Bain & Company,"Roadmapping, Market Analysis, Agile, Product Strategy, User Stories"
Business Development Manager,Intel,"CRM, Partnership Building, Negotiation, Market Analysis, Sales"
Senior Software Engineer,Atlassian,"SQL, JavaScript, Redis, DevOps, Java"
Project Manager,Adobe,"Scrum, Stakeholder Management, Risk Management, Project Planning, Agile"
Machine Learning Engineer,Square,"Deep Learning, Python, Machine Learning, PyTorch, TensorFlow"
Machine Learning Engineer,Netflix,"PyTorch, Python, Deep Learning, TensorFlow, Machine Learning"
Backend Developer,Uber,"APIs, MongoDB, Node.js, Python, Java, Redis, SQL"
Financial Analyst,Deutsche Bank,"Business Analysis, M&A, Bloomberg Terminal, Risk Management, Valuation"
Business Analyst,Accenture,"Business Intelligence, Excel, Tableau, SQL, Data Analysis"
Full Stack Developer,Databricks,"GraphQL, Agile, TypeScript, Microservices, Docker, Python, Elasticsearch, DevOps, TensorFlow, Git"
Business Development Manager,Accenture,"Market Analysis, Negotiation, Sales, CRM, Partnership Building"
Business Development Manager,Vanguard,"Sales, Negotiation, Market Analysis, Partnership Building, CRM"
Data Engineer,ServiceNow,"ETL, Hadoop, Data Warehousing, SQL, Python"
Machine Learning Engineer,Boston Consulting Group,"Deep Learning, Python, TensorFlow, PyTorch, Machine Learning"
Full Stack Developer,Stripe,"Linux, Azure, GraphQL, Elasticsearch, SQL, TypeScript, Angular"
Data Scientist,Square,"Tableau, Statistics, R, Data Warehousing, Statistical Analysis, NumPy"
Financial Analyst,Deutsche Bank,"Investment Banking, Forecasting, Financial Reporting, Excel, Business Analysis, Accounting, Quickbooks, Portfolio Management, Bloomberg Terminal, Financial Analysis"
Senior Software Engineer,Workday,"REST APIs, Node.js, Elasticsearch, DevOps, AWS, Machine Learning, Java, React, MongoDB"
Marketing Manager,Booz Allen Hamilton,"Campaign Management, Google Ads, Digital Marketing, Social Media Management, Market Research"
Financial Analyst,Goldman Sachs,"SQL, Financial Analysis, Financial Planning, Valuation, Budgeting, Accounting, Portfolio Management, Business Analysis"
Backend Developer,Netflix,"Java, Node.js, Python, APIs, SQL, Redis"
DevOps Engineer,IBM,"Jenkins, Kubernetes, Ansible, Linux, AWS, Docker"
DevOps Engineer,Atlassian,"Linux, AWS, Jenkins, Ansible, Docker, Kubernetes, CI/CD"
Frontend Developer,Meta,"Angular, Vue.js, React, CSS, TypeScript"
DevOps Engineer,Amazon,"Ansible, Docker, Linux, CI/CD, Kubernetes, Jenkins, AWS"
Full Stack Developer,Intel,"Docker, Vue.js, Redis, SQL, JavaScript, MongoDB, Elasticsearch, TensorFlow"
Full Stack Developer,Oracle,"Vue.js, Python, Agile, Angular, React, HTML, Elasticsearch"
Data Engineer,Adobe,"ETL, Spark, SQL, Python, Data Warehousing, Hadoop"
Machine Learning Engineer,Twitter,"PyTorch, TensorFlow, Python, Machine Learning, Deep Learning"
Cloud Engineer,Charles Schwab,"Terraform, Azure, AWS, GCP, Docker, Kubernetes"
Cloud Engineer,ServiceNow,"Azure, GCP, AWS, Kubernetes, Terraform, Docker"
Full Stack Developer,Workday,"CI/CD, Ansible, Node.js, Elasticsearch, Python, Azure, React, GraphQL"
DevOps Engineer,Netflix,"Linux, Kubernetes, Docker, Ansible, Jenkins, AWS, CI/CD"
Backend Developer,Airbnb,"APIs, Redis, Python, SQL, Java, MongoDB, Node.js"
Senior Software Engineer,VMware,"Docker, Ansible, PostgreSQL, DevOps, Redis, MongoDB"
UX Designer,Cisco,"UI Design, Wireframing, Prototyping, User Research, Figma"
Product Manager,Salesforce,"Agile, Roadmapping, Market Analysis, User Stories, Product Strategy"
Marketing Manager,HSBC,"Marketing Analytics, Social Media Management, Google Analytics, Campaign Management, Content Marketing, Adobe Creative Suite"
DevOps Engineer,IBM,"Kubernetes, CI/CD, Ansible, Jenkins, Linux, AWS, Docker"
Product Manager,EY,"Market Analysis, User Stories, Agile, Product Strategy, Roadmapping"
UX Designer,Boston Consulting Group,"Prototyping, User Research, UI Design, Wireframing, Figma"
Senior Software Engineer,Cisco,"DevOps, JavaScript, GraphQL, Git, Microservices"
DevOps Engineer,Meta,"Kubernetes, Docker, AWS, CI/CD, Linux, Ansible, Jenkins"
Software Engineer,VMware,"Microservices, Machine Learning, Elasticsearch, TensorFlow, Agile, Java, Linux, HTML"
Data Analyst,ServiceNow,"SciPy, Pandas, Statistics, Predictive Modeling, NumPy, Statistical Analysis, Business Intelligence"
Marketing Manager,State Street,"Marketing Automation, Email Marketing, Adobe Creative Suite, Marketing Analytics, Content Strategy, Marketing Strategy, Social Media Marketing, Campaign Management, CRM, Google Analytics"
Project Manager,American Express,"Scrum, Stakeholder Management, Agile, Project Planning, Risk Management"
Digital Marketing Specialist,Cisco,"Social Media Management, Digital Marketing, CRM, Social Media Marketing, Brand Management, Google Analytics, Adobe Creative Suite, Content Strategy"
Data Analyst,Airbnb,"Big Data, Power BI, Python, ETL, Tableau, Data Warehousing"
Software Engineer,Amazon,"DevOps, GraphQL, Vue.js, React, Java, Machine Learning, Python"
Financial Analyst,Mastercard,"Bloomberg Terminal, Business Analysis, Forecasting, Investment Banking, Excel"
Business Development Manager,Vanguard,"Market Analysis, Sales, Partnership Building, Negotiation, CRM"
UX Designer,Accenture,"Wireframing, User Research, Figma, Prototyping, UI Design"
Cloud Engineer,Booz Allen Hamilton,"Kubernetes, Azure, Docker, AWS, Terraform, GCP"
Senior Software Engineer,Meta,"Git, PostgreSQL, Agile, PyTorch, Machine Learning"
Marketing Manager,Microsoft,"SEO, Marketing Strategy, Adobe Creative Suite, Campaign Management, Copywriting, Email Marketing, Google Ads, Social Media Management"
Backend Developer,LinkedIn,"Node.js, SQL, APIs, Java, Python, Redis, MongoDB"
Backend Developer,Cisco,"APIs, SQL, MongoDB, Java, Python, Node.js, Redis"
Software Engineer,Oracle,"React, GraphQL, Agile, Node.js, Linux, Angular, CI/CD, CSS, PostgreSQL, Jenkins"
Product Manager,JPMorgan Chase,"Agile, Product Strategy, User Stories, Market Analysis, Roadmapping"
Investment Banking Analyst,Wells Fargo,"Financial Planning, Financial Analysis, Accounting, Financial Statements, Financial Modeling, Budgeting, M&A, Excel"
Product Manager,BlackRock,"Agile, User Stories, Roadmapping, Product Strategy, Market Analysis"
Financial Analyst,Morgan Stanley,"M&A, Financial Reporting, Forecasting, Financial Analysis, Excel, Risk Management"
Machine Learning Engineer,Fidelity,"Deep Learning, Machine Learning, PyTorch, TensorFlow, Python"
Investment Banking Analyst,Capital One,"Budgeting, SQL, Forecasting, Financial Planning, Capital Markets"
UX Designer,BlackRock,"UI Design, Figma, Prototyping, Wireframing, User Research"
Data Analyst,Airbnb,"Pandas, Statistical Analysis, ETL, SciPy, NumPy, Data Mining, Hadoop, Business Intelligence"
UX Designer,EY,"Wireframing, Figma, User Research, UI Design, Prototyping"
Marketing Manager,Uber,"Brand Management, Content Marketing, Google Analytics, Social Media Marketing, Social Media Management, Content Strategy, Marketing Strategy"
Software Engineer,Uber,"GraphQL, Angular, Node.js, SQL, Vue.js, TypeScript, TensorFlow, Python"
Marketing Manager,Snowflake,"Google Ads, Content Marketing, Marketing Strategy, Email Marketing, CRM, Brand Management, SEO, Adobe Creative Suite, Social Media Management, Copywriting"
Business Development Manager,Morgan Stanley,"CRM, Partnership Building, Market Analysis, Sales, Negotiation"
Data Analyst,Atlassian,"Tableau, Pandas, Hadoop, Python, Big Data, Data Warehousing, Statistics, SQL, Machine Learning"
Machine Learning Engineer,L.E.K. Consulting,"Machine Learning, Python, TensorFlow, PyTorch, Deep Learning"
Frontend Developer,VMware,"TypeScript, Angular, JavaScript, React, HTML"
Senior Software Engineer,Uber,"GraphQL, JavaScript, DevOps, Ansible, CI/CD, REST APIs, HTML"
Data Engineer,Meta,"ETL, Hadoop, Data Warehousing, SQL, Python"
Data Engineer,Amazon,"Data Warehousing, SQL, Python, ETL, Spark"
Data Engineer,LinkedIn,"ETL, Python, SQL, Hadoop, Data Warehousing, Spark"
Product Manager,Wells Fargo,"Agile, Product Strategy, Roadmapping, User Stories, Market Analysis"
Business Analyst,PwC,"Data Analysis, Excel, Business Intelligence, SQL, Tableau"
Financial Analyst,BlackRock,"Financial Modeling, Financial Analysis, Financial Statements, VBA, SQL, Capital Markets, M&A, Valuation, Portfolio Management"
Backend Developer,Snowflake,"Redis, Python, Node.js, MongoDB, SQL"
Financial Analyst,Goldman Sachs,"Business Analysis, Financial Analysis, Portfolio Management, Capital Markets, Quickbooks"
Cloud Engineer,Databricks,"Azure, Docker, GCP, Kubernetes, AWS"
Investment Banking Analyst,Deutsche Bank,"M&A, Financial Statements, Budgeting, VBA, Bloomberg Terminal, Financial Analysis, Forecasting"
Product Manager,Visa,"Market Analysis, Roadmapping, User Stories, Product Strategy, Agile"
DevOps Engineer,Snowflake,"AWS, Linux, Jenkins, CI/CD, Docker"
Senior Software Engineer,Amazon,"AWS, Machine Learning, Java, Ansible, DevOps, TypeScript, PyTorch"
Digital Marketing Specialist,Snowflake,"Marketing Analytics, Copywriting, Google Ads, Email Marketing, Marketing Automation"
Business Development Manager,ServiceNow,"CRM, Sales, Market Analysis, Negotiation, Partnership Building"
Business Development Manager,Snowflake,"Sales, Negotiation, Market Analysis, Partnership Building, CRM"
Data Engineer,Workday,"Python, Spark, Data Warehousing, Hadoop, SQL, ETL"
Data Engineer,Amazon,"ETL, Hadoop, Data Warehousing, SQL, Python, Spark"
Business Development Manager,Accenture,"Negotiation, Partnership Building, Market Analysis, CRM, Sales"
Digital Marketing Specialist,ServiceNow,"SEO, Content Strategy, Google Ads, Content Marketing, Market Research"
Business Development Manager,Square,"Market Analysis, Sales, Negotiation, CRM, Partnership Building"
Cloud Engineer,Booz Allen Hamilton,"Docker, Terraform, Azure, Kubernetes, GCP, AWS"
Senior Software Engineer,Meta,"CI/CD, REST APIs, Redis, TypeScript, Python, JavaScript, Azure, Linux, Ansible"
Software Engineer,Google,"Agile, Jenkins, Linux, Azure, JavaScript, REST APIs, CI/CD, Angular"
Frontend Developer,Amazon,"HTML, CSS, TypeScript, JavaScript, Angular, Vue.js"
Business Development Manager,Booz Allen Hamilton,"Market Analysis, Negotiation, CRM, Sales, Partnership Building"
Business Analyst,L.E.K. Consulting,"SQL, Data Analysis, Business Intelligence, Tableau, Excel"
Business Development Manager,Databricks,"Market Analysis, Negotiation, Partnership Building, CRM, Sales"
Data Engineer,Salesforce,"Spark, SQL, Hadoop, ETL, Python, Data Warehousing"
Marketing Manager,Airbnb,"Marketing Automation, Adobe Creative Suite, Google Analytics, Content Marketing, SEO, Market Research, CRM, Marketing Strategy, Email Marketing, Content Strategy"
Digital Marketing Specialist,Visa,"Google Ads, Social Media Marketing, Campaign Management, Adobe Creative Suite, Social Media Management, Marketing Analytics, CRM"
Data Analyst,Atlassian,"Data Warehousing, Data Analysis, Business Intelligence, Excel, Statistical Analysis, Power BI, Machine Learning, Data Visualization"
Business Analyst,Deloitte,"Tableau, SQL, Business Intelligence, Excel, Data Analysis"
UX Designer,Netflix,"Prototyping, UI Design, Wireframing, User Research, Figma"
Financial Analyst,Wells Fargo,"M&A, VBA, Financial Modeling, Financial Reporting, Valuation, Risk Management, Capital Markets, Financial Planning"
Full Stack Developer,Snowflake,"PyTorch, Angular, Azure, Git, Elasticsearch, REST APIs, React, MongoDB, Spring Boot"
Data Engineer,Twitter,"Data Warehousing, Python, Hadoop, Spark, SQL, ETL"
Frontend Developer,LinkedIn,"Vue.js, TypeScript, HTML, React, CSS, JavaScript, Angular"
Software Engineer,Oracle,"JavaScript, Spring Boot, Redis, Azure, PyTorch, TypeScript"
Product Manager,KPMG,"Market Analysis, User Stories, Product Strategy, Agile, Roadmapping"
Business Analyst,McKinsey,"SQL, Data Analysis, Tableau, Excel, Business Intelligence"
Data Engineer,Oracle,"SQL, Data Warehousing, Hadoop, ETL, Spark, Python"
Backend Developer,Snowflake,"Redis, Node.js, MongoDB, Python, APIs, SQL, Java"
Investment Banking Analyst,Deutsche Bank,"Bloomberg Terminal, Risk Management, Investment Banking, Accounting, Valuation, Capital Markets"
Data Scientist,ServiceNow,"ETL, A/B Testing, SQL, Big Data, Power BI, Data Warehousing, R, Data Analysis, NumPy, Data Visualization"
Business Development Manager,Meta,"Sales, Market Analysis, Partnership Building, Negotiation, CRM"
Digital Marketing Specialist,Citigroup,"Email Marketing, Market Research, Campaign Management, SEO, Social Media Management"
Machine Learning Engineer,KPMG,"Python, Deep Learning, PyTorch, Machine Learning, TensorFlow"
Full Stack Developer,Snowflake,"DevOps, Node.js, Python, CSS, Agile, REST APIs, Machine Learning, Azure"
Backend Developer,Intel,"Node.js, SQL, APIs, Java, Python, Redis, MongoDB"
Marketing Manager,Vanguard,"Content Marketing, Google Analytics, Market Research, Marketing Strategy, Marketing Automation, Digital Marketing"
Project Manager,Google,"Project Planning, Stakeholder Management, Agile, Scrum, Risk Management"
Product Manager,Square,"Market Analysis, Roadmapping, Product Strategy, User Stories, Agile"
Project Manager,Microsoft,"Stakeholder Management, Project Planning, Risk Management, Scrum, Agile"
Data Analyst,Uber,"Python, Data Mining, SQL, Statistics, Big Data, Hadoop, Data Analysis"
Data Scientist,Intel,"Big Data, Tableau, R, Hadoop, Statistics"
Business Development Manager,Capital One,"Sales, Market Analysis, Partnership Building, Negotiation, CRM"
Business Development Manager,McKinsey,"Partnership Building, Market Analysis, Negotiation, Sales, CRM"
Senior Software Engineer,Airbnb,"Node.js, Docker, MongoDB, TensorFlow, CSS, Angular, Ansible, SQL, Elasticsearch, Machine Learning"
Software Engineer,Workday,"Linux, PostgreSQL, Node.js, Git, Jenkins, Kubernetes, Vue.js, TensorFlow, CSS"
UX Designer,VMware,"Prototyping, Figma, User Research, UI Design, Wireframing"
Data Scientist,Databricks,"Python, Data Mining, Excel, SciPy, SQL, Data Warehousing, Big Data, Statistics"
Frontend Developer,Square,"TypeScript, Angular, React, Vue.js, HTML, CSS, JavaScript"
Backend Developer,Snowflake,"Java, SQL, Node.js, Python, Redis, APIs, MongoDB"
Data Analyst,VMware,"Hadoop, Data Analysis, Statistics, R, NumPy, SQL, Scikit-learn"
Financial Analyst,Wells Fargo,"Valuation, M&A, Financial Reporting, Quickbooks, Excel, Financial Modeling"
DevOps Engineer,Workday,"AWS, CI/CD, Jenkins, Docker, Ansible, Kubernetes, Linux"
UX Designer,Atlassian,"Prototyping, Wireframing, UI Design, User Research, Figma"
Backend Developer,Amazon,"Python, Redis, SQL, Node.js, Java"
Senior Software Engineer,Intel,"Microservices, DevOps, Elasticsearch, GraphQL, Ansible, Agile, CI/CD, Spring Boot, Linux, Angular"
Frontend Developer,Salesforce,"CSS, Angular, React, TypeScript, HTML, Vue.js"
Machine Learning Engineer,Goldman Sachs,"Python, TensorFlow, Machine Learning, PyTorch, Deep Learning"
Cloud Engineer,Citigroup,"Docker, AWS, Azure, GCP, Terraform, Kubernetes"
UX Designer,Booz Allen Hamilton,"UI Design, Prototyping, User Research, Wireframing, Figma"
Frontend Developer,Cisco,"React, JavaScript, HTML, CSS, TypeScript, Vue.js"
Cloud Engineer,Fidelity,"Docker, GCP, Terraform, Kubernetes, Azure, AWS"
Financial Analyst,Vanguard,"Financial Planning, Financial Modeling, VBA, Financial Analysis, Risk Management, Quickbooks, Financial Statements, M&A, Forecasting, Excel"
Backend Developer,IBM,"Java, Python, APIs, MongoDB, SQL, Node.js"
Data Analyst,Google,"Hadoop, Spark, NumPy, SciPy, Predictive Modeling, A/B Testing, Python, R"
Machine Learning Engineer,Charles Schwab,"Python, Deep Learning, PyTorch, TensorFlow, Machine Learning"
Software Engineer,Salesforce,"SQL, Java, Kubernetes, Angular, Agile, PyTorch"
Cloud Engineer,Snowflake,"Azure, Kubernetes, Terraform, AWS, Docker, GCP"
Business Analyst,McKinsey,"SQL, Data Analysis, Business Intelligence, Tableau, Excel"
Data Scientist,Stripe,"Scikit-learn, SQL, Data Warehousing, Data Analysis, Statistical Analysis, Machine Learning"
Frontend Developer,Databricks,"TypeScript, Angular, React, Vue.js, HTML, CSS, JavaScript"
UX Designer,McKinsey,"Prototyping, Figma, UI Design, Wireframing, User Research"
Marketing Manager,Mastercard,"Social Media Marketing, Google Ads, Brand Management, Marketing Automation, Marketing Strategy"
Software Engineer,IBM,"DevOps, HTML, AWS, Python, CSS, Machine Learning, JavaScript"
Frontend Developer,Salesforce,"Angular, TypeScript, HTML, React, Vue.js, CSS, JavaScript"
Cloud Engineer,Airbnb,"Azure, Docker, AWS, GCP, Terraform, Kubernetes"
Data Scientist,Cisco,"Data Mining, Data Visualization, Statistical Analysis, Machine Learning, Scikit-learn, SQL"
Senior Software Engineer,Netflix,"TensorFlow, Node.js, Jenkins, Vue.js, Redis, REST APIs"
Financial Analyst,Citigroup,"Investment Banking, Budgeting, Financial Analysis, Excel, VBA, Valuation, Forecasting, Quickbooks"
